"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Rowan County, NC"	"37159"	12	140644	Unreliable
	"Vance County, NC"	"37181"	11	44211	Unreliable
	"Wake County, NC"	"37183"	26	1072203	2.4
	"Wayne County, NC"	"37191"	14	124172	Unreliable
	"Ashtabula County, OH"	"39007"	24	97807	24.5
	"Butler County, OH"	"39017"	16	380604	Unreliable
	"Clark County, OH"	"39023"	11	134557	Unreliable
	"Cuyahoga County, OH"	"39035"	174	1248514	13.9
	"Franklin County, OH"	"39049"	147	1291981	11.4
	"Hamilton County, OH"	"39061"	88	813822	10.8
	"Lawrence County, OH"	"39087"	10	60249	Unreliable
	"Lorain County, OH"	"39093"	15	307924	Unreliable
	"Lucas County, OH"	"39095"	41	430887	9.5
	"Mahoning County, OH"	"39099"	29	229796	12.6
	"Montgomery County, OH"	"39113"	46	531542	8.7
	"Stark County, OH"	"39151"	31	372542	8.3
	"Summit County, OH"	"39153"	52	541228	9.6
	"Trumbull County, OH"	"39155"	17	200380	Unreliable
	"Cleveland County, OK"	"40027"	12	279641	Unreliable
	"Comanche County, OK"	"40031"	10	121526	Unreliable
	"Oklahoma County, OK"	"40109"	89	787958	11.3
	"Tulsa County, OK"	"40143"	76	646266	11.8
	"Marion County, OR"	"41047"	15	341286	Unreliable
	"Multnomah County, OR"	"41051"	33	807555	4.1
	"Allegheny County, PA"	"42003"	100	1223048	8.2
	"Berks County, PA"	"42011"	19	417854	Unreliable
	"Bucks County, PA"	"42017"	10	628341	Unreliable
	"Cambria County, PA"	"42021"	11	133054	Unreliable
	"Dauphin County, PA"	"42043"	23	275710	8.3
	"Delaware County, PA"	"42045"	51	564696	9.0
	"Erie County, PA"	"42049"	12	274541	Unreliable
	"Lancaster County, PA"	"42071"	11	542903	Unreliable
	"Lehigh County, PA"	"42077"	18	366494	Unreliable
	"Luzerne County, PA"	"42079"	14	317343	Unreliable
	"Lycoming County, PA"	"42081"	15	113841	Unreliable
	"Montgomery County, PA"	"42091"	11	826075	Unreliable
	"Northampton County, PA"	"42095"	10	303405	Unreliable
	"Philadelphia County, PA"	"42101"	321	1580863	20.3
	"York County, PA"	"42133"	26	446078	5.8
	"Providence County, RI"	"44007"	16	637357	Unreliable
	"Aiken County, SC"	"45003"	12	168179	Unreliable
	"Anderson County, SC"	"45007"	11	198759	Unreliable
	"Berkeley County, SC"	"45015"	12	217937	Unreliable
	"Charleston County, SC"	"45019"	49	401438	12.2
	"Darlington County, SC"	"45031"	14	67265	Unreliable
	"Dorchester County, SC"	"45035"	12	156456	Unreliable
	"Florence County, SC"	"45041"	19	138566	Unreliable
	"Greenville County, SC"	"45045"	38	506837	7.5
	"Horry County, SC"	"45051"	21	333268	6.3
	"Lancaster County, SC"	"45057"	13	92550	Unreliable
	"Lexington County, SC"	"45063"	24	290642	8.3
	"Orangeburg County, SC"	"45075"	12	87476	Unreliable
	"Richland County, SC"	"45079"	46	411592	11.2
	"Spartanburg County, SC"	"45083"	21	306854	6.8
	"Sumter County, SC"	"45085"	10	106847	Unreliable
	"York County, SC"	"45091"	12	266439	Unreliable
	"Davidson County, TN"	"47037"	104	691243	15.0
	"Hamilton County, TN"	"47065"	31	361613	8.6
	"Knox County, TN"	"47093"	32	461860	6.9
	"Montgomery County, TN"	"47125"	16	200182	Unreliable
	"Rutherford County, TN"	"47149"	17	317157	Unreliable
	"Shelby County, TN"	"47157"	196	936961	20.9
	"Bell County, TX"	"48027"	30	347833	8.6
	"Bexar County, TX"	"48029"	150	1958578	7.7
